image#0#0	caption
3143953179_1c08c023a5#2	many people are watching others ice skate on snowy day
3143953179_1c08c023a5#3	people are ice skating around tree with onlookers and buildings nearby
3143953179_1c08c023a5#4	several people standing near tree in front of buildings
3143978284_ac086be9a3#0	two elderly women with small child sucking pacifier
3143978284_ac086be9a3#1	two older women with baby that has pacifier in its mouth the baby wears an orange and brown dress
3143978284_ac086be9a3#2	two woman with baby
3143978284_ac086be9a3#3	two women are holding young child
3143978284_ac086be9a3#4	two women sitting next to each other one is holding baby and the other is showing her bracelet
3143980056_7a64a94b58#0	baby plays with woman
3143980056_7a64a94b58#1	baby touching woman face
3143980056_7a64a94b58#2	toddler reaching for woman face
3143980056_7a64a94b58#3	toddler reaching out to woman face
3143980056_7a64a94b58#4	the baby pinches the woman cheek
3143982558_9e2d44c155#0	baby in pink striped clothing is sitting near an older lady wearing red and black
3143982558_9e2d44c155#1	baby sitting next to very old woman
3143982558_9e2d44c155#2	baby with pink outfit on has pacifier and she is on chair with another woman
3143982558_9e2d44c155#3	woman in red shirt is holding black dog on brown sofa with little girl wearing striped onsie with pacifier in her mouth
3143982558_9e2d44c155#4	the baby sitting next to the black dog is sucking pacifier
3143991972_7193381aeb#0	woman and baby waiting with luggage
3143991972_7193381aeb#1	woman monitoring baby as it plays with nearby luggage
3143991972_7193381aeb#2	near seats woman has spread out green blanket to sit on floor with baby
3143991972_7193381aeb#3	woman and baby sitting on floor in waiting room
3143991972_7193381aeb#4	woman and baby waiting at an airport
3144705706_391d7b77c7#0	an child playing in pile of snow on street while an adult watches
3144705706_391d7b77c7#1	child playing in snow mound in the street
3144705706_391d7b77c7#2	children play in pile of snow
3144705706_391d7b77c7#3	two children play in the snow by the side of the road
3144705706_391d7b77c7#4	two young girls dressed in winter clothes play in mound of snow
3145869775_85dfae43bd#0	girl wearing bohemian hat and black jacket is walking trying to get something out of her blue purse
3145869775_85dfae43bd#1	woman in short skirt and boots
3145869775_85dfae43bd#2	the lady is dressed for cold weather
3145869775_85dfae43bd#3	the lady is wearing black coat gloves and boots
3145869775_85dfae43bd#4	the woman walking is wearing skirt and boots
3145967019_1a83ebf712#0	three smiling women one with shoulder bag one with blue cup and one using sign language are posing for picture
3145967019_1a83ebf712#1	three women are drinking and hugging
3145967019_1a83ebf712#2	three women are posing for picture
3145967019_1a83ebf712#3	three women are posing together and smiling while one holds up hand signal
3145967019_1a83ebf712#4	three women pose for picture together
3145967309_b33abe4d84#0	couple in an embrace looking at each other
3145967309_b33abe4d84#1	man and woman are dancing nearby others who are doing the same
3145967309_b33abe4d84#2	man in white print shirt and woman in black dress dancing
3145967309_b33abe4d84#3	man in white shirt is dancing with woman in black
3145967309_b33abe4d84#4	the red haired woman in the black dress has her arms around man in white
314603661_51e05e0e24#0	basett hound runs for falling biscut
314603661_51e05e0e24#1	brown dog with big ears walks across the carpet after brown toy
314603661_51e05e0e24#2	hound dog runs around in house chasing toy
314603661_51e05e0e24#3	brown and white dog trotting with brown object falling nearby
314603661_51e05e0e24#4	the brown and white dog is running to catch something
3146232740_df3da0163b#0	blackandwhite dog carries stick in his mouth as he swims in the clear water
3146232740_df3da0163b#1	black and white dog with stick in its mouth is swimming
3146232740_df3da0163b#2	dog in the water carries stick in his mouth
3146232740_df3da0163b#3	dog is fetching stick out of very clear water
3146232740_df3da0163b#4	small black and white dog carries stick while swimming
3146355833_1b7fc80210#0	child holds yellow balloon
3146355833_1b7fc80210#1	girl holds up yellow balloon animal
3146355833_1b7fc80210#2	little girl in traditional chinese garb holds balloon
3146355833_1b7fc80210#3	young girl is holding long thin yellow balloon
3146355833_1b7fc80210#4	the little girl holds up yellow balloon animal
3146630574_05d9ebbed1#0	black and white dog is running through the water while holding something red in its mouth
3146630574_05d9ebbed1#1	dog is running along beach with red object in its mouth
3146630574_05d9ebbed1#2	dog is running in water with red stick in its mouth
3146630574_05d9ebbed1#3	dog runs on the beach with red toy with string in his mouth
3146630574_05d9ebbed1#4	the brown and white dog is running across the sand with red object in his mouth
314685044_da4390728e#0	woman in green coat standing next to telephone stand
314685044_da4390728e#1	woman in coat reclines next to payphone
314685044_da4390728e#2	woman in green coat is standing near pay phone
314685044_da4390728e#3	woman is standing near public phone outside bookstore on city street
314685044_da4390728e#4	woman standing next to public telephone near the street
3146937399_8c046b7b1a#0	boy and girl walk in shallow water
3146937399_8c046b7b1a#1	two girls are walking by tree in front of brick building
3146937399_8c046b7b1a#2	two people are walking through some water
3146937399_8c046b7b1a#3	two people dressed in winter apparel venture out onto frozen body of water
3146937399_8c046b7b1a#4	two people in winter coats walking down road
3147217787_ed21cd4990#0	black man is dunking basketball while another man jostles him on the court
3147217787_ed21cd4990#1	man in white jersey is slam dunking basketball
3147217787_ed21cd4990#2	man with jersey is dunking the ball at basketball game
3147217787_ed21cd4990#3	person in uniform dunking basketball
3147217787_ed21cd4990#4	player number dunks the basketball into the net with crowd in the background
3147758035_e8a70818cb#0	man in black rides bicycle across the street while another walks holding dog
3147758035_e8a70818cb#1	man on bicycle and man on foot in crosswalk
3147758035_e8a70818cb#2	man on bike and another man with dog in his bag crossing wet street
3147758035_e8a70818cb#3	the man on the bike is riding next to man holding dog
3147758035_e8a70818cb#4	two men one on bike and one that is walking
3147913471_322ea231d9#0	basketball player gets ready for the shot
3147913471_322ea231d9#1	basketball player is looking up and set to throw the ball
3147913471_322ea231d9#2	florida men basketball player shooting basketball
3147913471_322ea231d9#3	the basketball player is holding basketball getting ready to take shot
3147913471_322ea231d9#4	the florida basketball player is preparing to shoot the ball
3148193539_de9dd48fc8#0	three boys all wearing green shirts are climbing on slide
3148193539_de9dd48fc8#1	three boys climb on slide
3148193539_de9dd48fc8#2	three boys in green shirts and khaki pants are at the top of slide
3148193539_de9dd48fc8#3	three boys wearing green shirts and tan pants pose at the top of slide
3148193539_de9dd48fc8#4	three children are posing on playground slide
3148286846_40ae914172#0	two boys are sitting in green kayak on the grass
3148286846_40ae914172#1	two children are playing in green boat on the grass
3148286846_40ae914172#2	two children in green plastic boat on lawn
3148286846_40ae914172#3	two children sit in green vessel in yard
3148286846_40ae914172#4	two young boys are in green kayak in the grass
3148571800_c5515e6c3d#0	man holds stick while stream of fire erupts from the end of it
3148571800_c5515e6c3d#1	man is playing with fire in front of group of people
3148571800_c5515e6c3d#2	man sets off large sparkler while the crown watches on
3148571800_c5515e6c3d#3	man with firecracker with crowd of people behind him watching
3148571800_c5515e6c3d#4	fireworks light up nighttime street while the crowd stands back
3148647065_2d6cd88cf6#0	dog is running through some dead leaves
3148647065_2d6cd88cf6#1	tan dog running through the grass with the background blurry
3148647065_2d6cd88cf6#2	yellow dog with collar running in wooded area
3148647065_2d6cd88cf6#3	brown and tan dog runs through brown leafy terrain
3148647065_2d6cd88cf6#4	pale brown dog runs in blurred rural scene
3148811252_2fa9490a04#0	basketball player holds the ball during game
3148811252_2fa9490a04#1	man with basketball in florida uniform
3148811252_2fa9490a04#2	the basketball player in white is holding an orange basketball
3148811252_2fa9490a04#3	the basketball player is wearing florida jersey
3148811252_2fa9490a04#4	there is florida college player dribbling the ball
3149038044_c7c94688c6#0	child gets ready to hike the ball to another
3149038044_c7c94688c6#1	two boys playing flag football with purple jerseys
3149038044_c7c94688c6#2	two children are playing flag football together
3149038044_c7c94688c6#3	two children are playing with football on the grass
3149038044_c7c94688c6#4	two little boys playing flag football in purple jerseys
314904143_5a216a192b#0	man with rock climbing equipment is hanging from vertical white rock
314904143_5a216a192b#1	woman climbing rocky cliff
314904143_5a216a192b#2	woman doing rock climbing
314904143_5a216a192b#3	woman with ponytail climbing rock wall
314904143_5a216a192b#4	young woman with ponytail climbs white stone structure
314940358_ec1958dc1d#0	closeup of an elderly man wearing glasses
314940358_ec1958dc1d#1	man wearing glasses looks down and smiles
314940358_ec1958dc1d#2	man with gray hair and glasses looks downwards
314940358_ec1958dc1d#3	an elderly man looks down and smiles
314940358_ec1958dc1d#4	grey haired man with glasses
3149804151_1cc8d10783#0	two bikers race uphill
3149804151_1cc8d10783#1	two dirtbikers are taking their motorbikes through snowy path
3149804151_1cc8d10783#2	two motocross bikers are throwing up dirt as they ride around circuit
3149804151_1cc8d10783#3	two motorcross riders race through dirty snow
3149804151_1cc8d10783#4	two people in the middle of dirt bike race
3149919755_f9272b10b3#0	black dog is looking at the ball on the beach by the ocean
3149919755_f9272b10b3#1	dog and ball on beach
3149919755_f9272b10b3#2	dog standing on beach with ball nearby
3149919755_f9272b10b3#3	dog stands on beach at sunset
3149919755_f9272b10b3#4	dog in shadow on beach at sunset
315021440_122d56ebd7#0	the two dogs are running toward the camera
315021440_122d56ebd7#1	two dogs running along dirt path
315021440_122d56ebd7#2	two dogs running down path in the woods
315021440_122d56ebd7#3	two dogs run through field
315021440_122d56ebd7#4	two long haired dogs racing down forest path
